[INFO] | [http-nio-3030-exec-40] | 2016/07/07 15:02:36.777/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-50] | 2016/07/07 15:02:38.489/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-50] | 2016/07/07 15:02:38.489/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-46] | 2016/07/07 15:02:41.528/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-46] | 2016/07/07 15:02:41.529/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-60] | 2016/07/07 15:14:40.352/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-60] | 2016/07/07 15:14:40.356/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-60] | 2016/07/07 15:14:40.356/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-54] | 2016/07/07 15:14:41.766/IST | INFO | PoiController.java:96 | Action is....listSubmittedPoi...forwarding request to   /listSubmittedPoi.jsp
[INFO] | [http-nio-3030-exec-54] | 2016/07/07 15:14:41.767/IST | INFO | PoiDaoImplementation.java:354 | Getting all SubmittedPoiList.........
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:14:43.254/IST | INFO | PoiController.java:100 | Action is....listApprovedPoi...forwarding request to   /listApprovedPoi.jsp
[INFO] | [http-nio-3030-exec-52] | 2016/07/07 15:14:43.254/IST | INFO | PoiDaoImplementation.java:387 | Getting all ApprovedPoiList.........
[INFO] | [http-nio-3030-exec-58] | 2016/07/07 15:14:44.299/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-58] | 2016/07/07 15:14:44.299/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-62] | 2016/07/07 15:18:56.293/IST | INFO | UserDaoImplementation.java:181 | Getting all active users.....
[INFO] | [http-nio-3030-exec-62] | 2016/07/07 15:18:56.295/IST | INFO | UserDaoImplementation.java:197 | Added Data to the Users
[INFO] | [http-nio-3030-exec-63] | 2016/07/07 15:18:58.342/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
[INFO] | [http-nio-3030-exec-63] | 2016/07/07 15:18:58.343/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-65] | 2016/07/07 15:19:00.459/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-65] | 2016/07/07 15:19:00.459/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-62] | 2016/07/07 15:20:49.702/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-62] | 2016/07/07 15:20:49.705/IST | INFO | UserDaoImplementation.java:181 | Getting all active users.....
[INFO] | [http-nio-3030-exec-62] | 2016/07/07 15:20:49.725/IST | INFO | UserDaoImplementation.java:197 | Added Data to the Users
[INFO] | [http-nio-3030-exec-66] | 2016/07/07 15:20:52.190/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
[INFO] | [http-nio-3030-exec-66] | 2016/07/07 15:20:52.191/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-69] | 2016/07/07 15:20:54.004/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-69] | 2016/07/07 15:20:54.005/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-64] | 2016/07/07 15:20:55.951/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-64] | 2016/07/07 15:20:55.952/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-74] | 2016/07/07 15:22:21.319/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-74] | 2016/07/07 15:22:21.320/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-79] | 2016/07/07 15:22:22.850/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-79] | 2016/07/07 15:22:22.851/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-74] | 2016/07/07 15:23:13.857/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-74] | 2016/07/07 15:23:13.860/IST | INFO | UserDaoImplementation.java:181 | Getting all active users.....
[INFO] | [http-nio-3030-exec-74] | 2016/07/07 15:23:13.879/IST | INFO | UserDaoImplementation.java:197 | Added Data to the Users
[INFO] | [http-nio-3030-exec-76] | 2016/07/07 15:23:15.894/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
[INFO] | [http-nio-3030-exec-76] | 2016/07/07 15:23:15.894/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-77] | 2016/07/07 15:23:17.492/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-77] | 2016/07/07 15:23:17.493/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-75] | 2016/07/07 15:23:19.184/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-75] | 2016/07/07 15:23:19.184/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-89] | 2016/07/07 15:25:23.104/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-89] | 2016/07/07 15:25:23.107/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-89] | 2016/07/07 15:25:23.107/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-91] | 2016/07/07 15:25:45.881/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-91] | 2016/07/07 15:25:45.882/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-93] | 2016/07/07 15:27:17.680/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-93] | 2016/07/07 15:27:17.680/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-96] | 2016/07/07 15:30:10.252/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-96] | 2016/07/07 15:30:10.253/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-92] | 2016/07/07 15:33:37.180/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-92] | 2016/07/07 15:33:37.183/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-92] | 2016/07/07 15:33:37.183/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-95] | 2016/07/07 15:33:38.669/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-95] | 2016/07/07 15:33:38.670/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-106] | 2016/07/07 15:35:43.813/IST | INFO | DBUtil.java:48 | database connected
[INFO] | [http-nio-3030-exec-106] | 2016/07/07 15:35:43.815/IST | INFO | UserDaoImplementation.java:181 | Getting all active users.....
[INFO] | [http-nio-3030-exec-106] | 2016/07/07 15:35:43.836/IST | INFO | UserDaoImplementation.java:197 | Added Data to the Users
[INFO] | [http-nio-3030-exec-98] | 2016/07/07 15:35:45.816/IST | INFO | PoiController.java:82 | Action is....listCreatedPoi...forwarding request to   /listCreatedPoi.jsp
[INFO] | [http-nio-3030-exec-98] | 2016/07/07 15:35:45.817/IST | INFO | PoiDaoImplementation.java:232 | GetCreatedPoiList.....
[INFO] | [http-nio-3030-exec-103] | 2016/07/07 15:35:47.599/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-103] | 2016/07/07 15:35:47.599/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-104] | 2016/07/07 15:35:52.940/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-104] | 2016/07/07 15:35:52.940/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-102] | 2016/07/07 15:36:05.815/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
[INFO] | [http-nio-3030-exec-102] | 2016/07/07 15:36:05.815/IST | INFO | PoiDaoImplementation.java:276 | Getting all updated pois list...........
[INFO] | [http-nio-3030-exec-107] | 2016/07/07 15:36:07.123/IST | INFO | PoiController.java:88 | Action is....listUpdatedPoi...forwarding request to   /listUpdatedPoi.jsp
